Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
PPARG	5468	Familial Partial Lipodystrophy, Type 3	C1720861	disease	Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	10	8	0.94	no reported evidence	1.0	13	7	2000.0	2016.0
HFE	3077	Hereditary hemochromatosis	C0392514	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	166	36	0.9	no reported evidence	0.9368771	342	15	1993.0	2018.0
PPARG	5468	Obesity	C0028754	disease	Nutritional and Metabolic Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1960	811	0.9	no reported evidence	0.9681529	161	5	1997.0	2018.0
HFE	3077	HEMOCHROMATOSIS, TYPE 1	C3469186	disease		Disease or Syndrome	64	42	0.7	no reported evidence	0.9493243	345	20	1987.0	2018.0
NOS3	4846	Myocardial Infarction	C0027051	disease	Cardiovascular Diseases	Disease or Syndrome	965	454	0.7	no reported evidence	0.9583333	54	4	1998.0	2018.0
PPARG	5468	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.7	no reported evidence	0.9259259	34	3	1999.0	2016.0
HFE	3077	Porphyria Cutanea Tarda	C0162566	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Digestive System Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	22	31	0.6	no reported evidence	0.96	26	5	1996.0	2010.0
NOS3	4846	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	disease	Endocrine System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1671	1522	0.6	no reported evidence	0.8636364	46	1	1999.0	2016.0
NOS3	4846	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.6	no reported evidence	0.9243697	134	10	1996.0	2018.0
NOS3	4846	Essential Hypertension	C0085580	disease	Cardiovascular Diseases	Disease or Syndrome	277	126	0.6	no reported evidence	0.8571429	42	2	1995.0	2017.0
NOS3	4846	Erectile dysfunction	C0242350	disease	Male Urogenital Diseases; Mental Disorders	Finding	117	17	0.6	no reported evidence	1.0	21	2	1999.0	2017.0
NOS3	4846	Metabolic Syndrome X	C0524620	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	547	293	0.6	no reported evidence	1.0	20	2	2003.0	2018.0
PPARG	5468	Malignant tumor of colon	C0007102	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	2000	135	0.6	no reported evidence	0.9756098	43	4	1998.0	2017.0
PPARG	5468	Familial partial lipodystrophy	C0271694	disease	Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	16	14	0.6	no reported evidence	1.0	13	2	2002.0	2013.0
NOS3	4846	Diabetic Angiopathies	C0011875	disease	Cardiovascular Diseases; Endocrine System Diseases	Disease or Syndrome	68	1	0.53	no reported evidence	1.0	5	0	2002.0	2012.0
NOS3	4846	Hyperlipidemia	C0020473	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	231	26	0.52	no reported evidence	1.0	4	0	2001.0	2015.0
NOS3	4846	Pulmonary Edema	C0034063	disease	Respiratory Tract Diseases	Disease or Syndrome	77	0	0.52	no reported evidence	1.0	4	0	2002.0	2015.0
