Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
GALT	2592	Classical galactosemia	C0268151	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	20	237	0.8	no reported evidence	0.945454545454545	131	227	1982.0	2018.0
CYP19A1	1588	Aromatase deficiency	C1960539	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	5	12	0.79	no reported evidence	1.0	18	12	1991.0	2016.0
IL10	3586	Behcet Syndrome	C0004943	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Eye Diseases; Skin and Connective Tissue Diseases; Stomatognathic Diseases	Disease or Syndrome	257	225	0.7	no reported evidence	0.96	25	5	2007.0	2018.0
IL10	3586	Inflammatory Bowel Diseases	C0021390	group	Digestive System Diseases	Disease or Syndrome	910	451	0.7	no reported evidence	0.9868421	79	4	1995.0	2018.0
VDR	7421	Osteoporosis	C0029456	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	440	82	0.7	no reported evidence	0.9181818	119	4	1995.0	2018.0
VDR	7421	Rickets	C0035579	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	33	7	0.7	no reported evidence	0.9756098	58	5	1989.0	2017.0
SIGMAR1	10280	Spinal muscular atrophy, Jerash type	C1854023	disease	Nervous System Diseases	Disease or Syndrome	6	2	0.7	no reported evidence		2	2	2015.0	2017.0
BTNL2	56244	Sarcoidosis	C0036202	disease	Hemic and Lymphatic Diseases	Disease or Syndrome	235	760	0.7	no reported evidence	1.0	25	25	2005.0	2017.0
VDR	7421	Vitamin D-Dependent Rickets, Type 2A	C0342646	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	2	15	0.62	no reported evidence	1.0	22	15	1986.0	2018.0
CYP19A1	1588	Endometriosis	C0014175	disease	Female Urogenital Diseases and Pregnancy Complications	Disease or Syndrome	748	156	0.6	no reported evidence	0.964285714285714	37	1	2002.0	2017.0
CYP19A1	1588	Polycystic Ovary Syndrome	C0032460	disease	Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Disease or Syndrome	525	181	0.6	no reported evidence	0.9375	21	2	1994.0	2018.0
IL10	3586	Colitis	C0009319	disease	Digestive System Diseases	Disease or Syndrome	607	6	0.6	no reported evidence	0.9210526	82	0	1995.0	2017.0
VDR	7421	Familial Hypophosphatemic Rickets	C3536983	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	27	15	0.6	no reported evidence	1.0	44	12	1989.0	2017.0
SIGMAR1	10280	AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE	C3280587	disease		Disease or Syndrome	1	3	0.6	no reported evidence		4	3	2012.0	2017.0
CYP19A1	1588	AROMATASE EXCESS SYNDROME	C1970109	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	10	0	0.58	no reported evidence	1.0	8	0	1998.0	2015.0
GALT	2592	Galactosemias	C0016952	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	18	16	0.5	no reported evidence	0.948717948717949	49	8	1982.0	2018.0
