Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
MECP2	4204	Rett Syndrome	C0035372	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	128	293	1.0	definitive	0.954023	614	284	1966.0	2018.0
MECP2	4204	Rett Syndrome, Atypical	C2748910	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	7	78	0.8	definitive	0.9166667	42	36	1999.0	2018.0
MECP2	4204	Lubs X-linked mental retardation syndrome	C1846058	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Mental or Behavioral Dysfunction	7	3	0.7	no reported evidence	1.0	15	3	2009.0	2017.0
MECP2	4204	ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS	C1968556	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	1	20	0.7	no reported evidence		37	20	1999.0	2017.0
MECP2	4204	Intellectual Disability	C3714756	group	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	2502	53	0.7	strong	0.943662	72	4	1999.0	2017.0
AGER	177	Atherosclerosis	C0004153	disease	Cardiovascular Diseases	Disease or Syndrome	1133	131	0.6	no reported evidence	1.0	24	0	1999.0	2017.0
CRP	1401	Rheumatoid Arthritis	C0003873	disease	Immune System Diseases; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1832	1878	0.6	no reported evidence	0.939393939393939	73	0	1989.0	2016.0
CRP	1401	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.6	no reported evidence	0.9375	41	0	2003.0	2016.0
IL1B	3553	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.6	no reported evidence	0.9464286	60	0	1989.0	2017.0
IL1B	3553	Myocardial Infarction	C0027051	disease	Cardiovascular Diseases	Disease or Syndrome	965	454	0.6	no reported evidence	0.9230769	19	0	1995.0	2016.0
