Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
KCNQ1	3784	Jervell-Lange Nielsen Syndrome	C0022387	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Disease or Syndrome	8	18	1.0	no reported evidence	0.9666667	54	15	1997.0	2017.0
KCNQ1	3784	Romano-Ward Syndrome	C0035828	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	28	232	1.0	no reported evidence	1.0	113	215	1993.0	2018.0
TTR	7276	Carpal Tunnel Syndrome	C0007286	disease	Nervous System Diseases; Wounds and Injuries	Disease or Syndrome	25	6	0.7	no reported evidence	1.0	18	3	1991.0	2018.0
TTR	7276	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	C2751492	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	43	50	0.7	no reported evidence	0.9647887	348	48	1956.0	2018.0
KCNQ1	3784	SHORT QT SYNDROME 2 (disorder)	C1865019	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	2	4	0.62	no reported evidence	1.0	7	4	2004.0	2016.0
CETP	1071	HYPERALPHALIPOPROTEINEMIA 1	C3149462	disease		Disease or Syndrome	7	2	0.6	no reported evidence	0.846153846153846	28	2	1990.0	2015.0
IL6	3569	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.6	no reported evidence	0.8	24	0	1995.0	2018.0
IL6	3569	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.6	no reported evidence	0.6	21	0	1995.0	2018.0
IL6	3569	Heart failure	C0018801	disease	Cardiovascular Diseases	Disease or Syndrome	814	91	0.6	no reported evidence	1.0	14	0	2000.0	2016.0
IL6	3569	Congestive heart failure	C0018802	disease	Cardiovascular Diseases	Disease or Syndrome	883	65	0.6	no reported evidence	1.0	16	0	2000.0	2018.0
IL6	3569	Obesity	C0028754	disease	Nutritional and Metabolic Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1960	811	0.6	no reported evidence	0.9512195	126	2	2001.0	2018.0
KCNQ1	3784	Atrial Fibrillation, Familial, 3	C1837014	disease	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1	5	0.6	no reported evidence		8	5	2003.0	2016.0
KCNQ1	3784	LONG QT SYNDROME 1, ACQUIRED, SUSCEPTIBILITY TO	C1843738	phenotype		Finding	1	192	0.6	no reported evidence		42	192	1996.0	2015.0
TTR	7276	Amyloid Neuropathies, Familial	C0206245	group	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	12	5	0.6	no reported evidence	1.0	166	2	1983.0	2018.0
TTR	7276	Dystransthyretinemic Euthyroidal Hyperthyroxinemia	C2750824	disease	Endocrine System Diseases	Disease or Syndrome	1	3	0.6	no reported evidence		3	3	1991.0	2015.0
CETP	1071	Hypercholesterolemia, Familial	C0020445	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	153	1189	0.59	limited	1.0	10	0	1997.0	2011.0
IL6	3569	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.57	no reported evidence	1.0	11	0	1994.0	2016.0
OLR1	4973	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.53	no reported evidence	1.0	4	0	1998.0	2016.0
A2M	2	Nephrotic Syndrome	C0027726	group	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	181	8	0.51	no reported evidence	1.0	2	0	1998.0	2001.0
IL6	3569	Hamman-Rich syndrome	C0085786	disease	Respiratory Tract Diseases	Disease or Syndrome	232	9	0.51	no reported evidence	1.0	4	0	2000.0	2015.0
A2M	2	Hepatocellular Adenoma	C0206669	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	53	2	0.5	no reported evidence		1	0	2004.0	2004.0
CETP	1071	Cholesteryl Ester Transfer Protein Deficiency	C0342883	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	19	1	0.5	no reported evidence	0.891891891891892	37	0	1990.0	2015.0
CETP	1071	HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 10	C3149463	phenotype		Finding	1	3	0.5	no reported evidence		3	2	1990.0	2002.0
IL6	3569	Autoimmune Diseases	C0004364	group	Immune System Diseases	Disease or Syndrome	1059	141	0.5	no reported evidence	1.0	42	1	1992.0	2017.0
KCNQ1	3784	Beckwith-Wiedemann Syndrome	C0004903	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Disease or Syndrome	65	40	0.5	no reported evidence	0.9166667	13	1	1997.0	2015.0
KCNQ1	3784	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	disease	Endocrine System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1671	1522	0.5	no reported evidence	1.0	80	20	2009.0	2017.0
