Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
NPY	4852	Alcohol abuse	C0085762	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	106	106	0.71	no reported evidence	1.0	4	0	2003.0	2010.0
MTR	4548	Methylcobalamin Deficiency, CblG Type	C1855128	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	2	9	0.7	no reported evidence		5	9	1997.0	2014.0
MTRR	4552	Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type	C1856057	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Hemic and Lymphatic Diseases; Nervous System Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1	3	0.7	no reported evidence		4	3	1998.0	2006.0
C2	717	COMPLEMENT COMPONENT 2 DEFICIENCY	C3150275	disease		Disease or Syndrome	7	4	0.64	no reported evidence	0.75	7	4	1985.0	2013.0
CFB	629	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4	C2752038	phenotype		Finding	1	6	0.6	no reported evidence		4	6	1981.0	2010.0
FKBP5	2289	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.6	no reported evidence	0.8	16	5	2009.0	2018.0
NPY	4852	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.6	no reported evidence	1.0	18	1	2001.0	2014.0
NPY	4852	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.6	no reported evidence	1.0	16	1	2002.0	2015.0
NPY	4852	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.6	no reported evidence	1.0	15	1	1998.0	2015.0
TFAM	7019	MITOCHONDRIAL DNA DEPLETION SYNDROME 15 (HEPATOCEREBRAL TYPE)	C4310690	disease		Disease or Syndrome	1	1	0.6	no reported evidence		1	1	2016.0	2016.0
CFB	629	Atypical Hemolytic Uremic Syndrome	C2931788	disease	Female Urogenital Diseases and Pregnancy Complications; Hemic and Lymphatic Diseases; Male Urogenital Diseases	Disease or Syndrome	38	19	0.55	strong	1.0	8	0	2007.0	2018.0
NPY	4852	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.55	no reported evidence	0.6	7	0	2000.0	2016.0
NPY	4852	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.55	no reported evidence	1.0	10	1	1998.0	2013.0
