Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
HTRA1	5654	Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy	C1838577	disease	Cardiovascular Diseases; Musculoskeletal Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms; Skin and Connective Tissue Diseases	Disease or Syndrome	5	10	0.8	no reported evidence	0.9	17	10	1993.0	2018.0
CRHR1	1394	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.6	no reported evidence	1.0	28	3	2004.0	2016.0
CRHR1	1394	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.6	no reported evidence	1.0	12	7	2006.0	2016.0
IL6R	3570	Rheumatoid Arthritis	C0003873	disease	Immune System Diseases; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1832	1878	0.5	no reported evidence	1.0	17	5	2001.0	2016.0
IL6R	3570	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.5	no reported evidence	1.0	2	0	2012.0	2013.0
ARMS2	387715	Age related macular degeneration	C0242383	disease	Eye Diseases	Disease or Syndrome	381	551	0.5	no reported evidence	0.9725275	191	6	2006.0	2018.0
CRHR1	1394	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.4	no reported evidence	1.0	12	3	2005.0	2016.0
CRHR1	1394	Anxiety Disorders	C0003469	group	Mental Disorders	Mental or Behavioral Dysfunction	395	79	0.4	no reported evidence	1.0	13	2	1997.0	2016.0
CRHR1	1394	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.4	no reported evidence	1.0	28	6	2004.0	2016.0
ESR2	2100	Adenocarcinoma	C0001418	group	Neoplasms	Neoplastic Process	1711	67	0.4	no reported evidence	0.857142857142857	13	0	2002.0	2013.0
ESR2	2100	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.4	no reported evidence	0.956896551724138	118	6	1998.0	2018.0
ESR2	2100	Colorectal Carcinoma	C0009402	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	2931	539	0.4	no reported evidence	1.0	22	3	2004.0	2018.0
ESR2	2100	Endometriosis	C0014175	disease	Female Urogenital Diseases and Pregnancy Complications	Disease or Syndrome	748	156	0.4	no reported evidence	0.947368421052632	22	2	2004.0	2016.0
ESR2	2100	Prostatic Neoplasms	C0033578	group	Male Urogenital Diseases; Neoplasms	Neoplastic Process	1553	25	0.4	no reported evidence	1.0	19	0	2004.0	2016.0
ESR2	2100	Malignant neoplasm of prostate	C0376358	disease	Male Urogenital Diseases; Neoplasms	Neoplastic Process	3238	563	0.4	no reported evidence	0.934782608695652	50	5	2001.0	2016.0
ESR2	2100	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.4	no reported evidence	0.956140350877193	116	6	1998.0	2018.0
