Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
PRNP	5621	Gerstmann-Straussler-Scheinker Disease	C0017495	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	32	27	1.0	no reported evidence	0.9826087	131	17	1989.0	2017.0
PRNP	5621	Creutzfeldt-Jakob disease	C0022336	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	88	39	1.0	no reported evidence	0.9463602	306	17	1988.0	2018.0
PRNP	5621	Fatal Familial Insomnia	C0206042	disease	Nervous System Diseases	Disease or Syndrome	8	10	1.0	no reported evidence	0.9577465	90	8	1989.0	2017.0
GRN	2896	Primary Progressive Aphasia (disorder)	C0282513	disease	Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	17	8	0.9	no reported evidence	1.0	17	2	2006.0	2016.0
GRN	2896	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED	C1843792	disease		Disease or Syndrome	9	11	0.88	no reported evidence	1.0	29	11	1993.0	2015.0
CHAT	1103	Familial infantile myasthenia	C0393929	disease	Immune System Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms; Respiratory Tract Diseases	Disease or Syndrome	1	14	0.81	no reported evidence	1.0	7	14	2001.0	2017.0
HTR2A	3356	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.8	no reported evidence	0.6	25	1	1997.0	2015.0
FMO3	2328	Trimethylaminuria	C0342739	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	2	12	0.7	no reported evidence	1.0	32	12	1976.0	2016.0
GRN	2896	Frontotemporal dementia	C0338451	disease	Mental Disorders; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	144	94	0.7	no reported evidence	0.957142857142857	142	15	2006.0	2018.0
PRNP	5621	New Variant Creutzfeldt-Jakob Disease	C0376329	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	22	10	0.7	no reported evidence	0.875	52	10	1990.0	2016.0
PRNP	5621	Creutzfeldt-Jakob Disease, Familial	C0751254	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	19	10	0.7	no reported evidence	1.0	49	9	1990.0	2018.0
GRN	2896	CEROID LIPOFUSCINOSIS, NEURONAL, 11	C3539123	disease		Disease or Syndrome	1	2	0.6	no reported evidence		1	2	2015.0	2015.0
GSK3B	2932	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.6	no reported evidence	0.9189189	43	1	2000.0	2016.0
GSK3B	2932	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.6	no reported evidence	0.8	20	1	2004.0	2018.0
HTR2A	3356	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.6	no reported evidence	1.0	23	2	1999.0	2016.0
HTR2A	3356	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.6	no reported evidence	1.0	34	4	2000.0	2017.0
PRNP	5621	SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES	C1847650	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Mental Disorders; Nervous System Diseases	Disease or Syndrome	1	3	0.6	no reported evidence		5	3	1997.0	2006.0
PRNP	5621	Creutzfeldt-Jakob Disease, Sporadic	C1852467	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	27	17	0.6	no reported evidence	0.9722222	82	13	1990.0	2016.0
PRNP	5621	HUNTINGTON DISEASE-LIKE 1	C1864112	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Mental Disorders; Nervous System Diseases	Disease or Syndrome	1	5	0.6	no reported evidence		28	3	1989.0	2017.0
HTR2A	3356	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.59	no reported evidence	1.0	11	1	1999.0	2014.0
