Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
APOE	348	Hyperlipoproteinemia Type III	C0020479	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	17	15	0.8	no reported evidence	0.920634920634921	77	13	1981.0	2018.0
APOE	348	LIPOPROTEIN GLOMERULOPATHY	C2673196	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	5	2	0.8	no reported evidence	1.0	33	2	1997.0	2015.0
MAPT	4137	Progressive supranuclear palsy	C0038868	disease	Eye Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	68	22	0.8	no reported evidence	0.9478261	126	9	1995.0	2018.0
APOE	348	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.7	no reported evidence	0.921821305841924	2356	11	1991.0	2018.0
APOE	348	ALZHEIMER DISEASE 2	C1863051	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	13	1	0.7	no reported evidence	0.928571428571429	15	1	1993.0	2004.0
MAPT	4137	Pick Disease of the Brain	C0236642	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	104	51	0.7	no reported evidence	0.9663462	209	20	1998.0	2018.0
MAPT	4137	Frontotemporal dementia	C0338451	disease	Mental Disorders; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	144	94	0.7	no reported evidence	0.9683908	371	24	1992.0	2018.0
APOA1	335	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.67	no reported evidence	1.0	9	2	2002.0	2016.0
APOA1	335	Amyloidosis, familial visceral	C0268389	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	7	15	0.61	no reported evidence	1.0	9	5	1969.0	2002.0
APOC3	345	Apolipoprotein C-III Deficiency	C3151467	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	1	5	0.61	no reported evidence	1.0	7	5	1991.0	2017.0
