Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
TP53	7157	Osteosarcoma	C0029463	disease	Neoplasms	Neoplastic Process	1102	74	1.0	no reported evidence	0.9102564	163	13	1987.0	2017.0
TP53	7157	Li-Fraumeni Syndrome	C0085390	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Neoplasms; Nutritional and Metabolic Diseases	Neoplastic Process	49	87	1.0	definitive	0.9194631	498	80	1989.0	2018.0
TP53	7157	Sarcoma	C1261473	group	Neoplasms	Neoplastic Process	657	20	1.0	strong	0.95	167	3	1987.0	2018.0
IRS1	3667	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	disease	Endocrine System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1671	1522	0.9	no reported evidence	0.9411765	108	6	1993.0	2017.0
TP53	7157	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.9	strong	0.9658635	999	17	1983.0	2018.0
TP53	7157	Glioma	C0017638	disease	Neoplasms	Neoplastic Process	2210	180	0.9	no reported evidence	0.9359431	289	13	1991.0	2017.0
TP53	7157	Pancreatic Neoplasm	C0030297	disease	Digestive System Diseases; Endocrine System Diseases; Neoplasms	Neoplastic Process	664	13	0.9	no reported evidence	1.0	26	1	1993.0	2016.0
TP53	7157	Malignant neoplasm of pancreas	C0346647	disease	Digestive System Diseases; Endocrine System Diseases; Neoplasms	Neoplastic Process	1845	136	0.9	no reported evidence	0.953125	129	8	1992.0	2018.0
TP53	7157	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.9	no reported evidence	0.9672447	1042	21	1983.0	2018.0
TP53	7157	Liver carcinoma	C2239176	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	3592	419	0.9	no reported evidence	0.9446494	560	68	1990.0	2018.0
RAF1	5894	Noonan Syndrome 5	C1969057	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1	10	0.81	no reported evidence	1.0	8	10	2007.0	2016.0
CFH	3075	MACULAR DEGENERATION, AGE-RELATED, 4 (disorder)	C1853147	disease	Eye Diseases	Disease or Syndrome	1	5	0.8	no reported evidence		31	5	1995.0	2015.0
RAF1	5894	Noonan Syndrome	C0028326	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	60	129	0.8	definitive	1.0	48	18	1991.0	2016.0
TP53	7157	Chronic Lymphocytic Leukemia	C0023434	disease	Hemic and Lymphatic Diseases; Immune System Diseases; Neoplasms	Neoplastic Process	1119	228	0.8	no reported evidence	0.9593496	249	23	1991.0	2018.0
TP53	7157	Lung Neoplasms	C0024121	group	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	1176	23	0.8	no reported evidence	0.9607843	149	1	1990.0	2017.0
TP53	7157	Adrenocortical carcinoma	C0206686	disease	Endocrine System Diseases; Neoplasms	Neoplastic Process	184	39	0.8	no reported evidence	0.95	46	20	1992.0	2018.0
TP53	7157	Malignant neoplasm of lung	C0242379	disease	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	2448	409	0.8	no reported evidence	0.9668246	427	24	1989.0	2018.0
CFH	3075	Complement Factor H Deficiency	C0398777	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	4	7	0.79	no reported evidence	0.8888889	27	7	1987.0	2015.0
ALDH2	217	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.7	no reported evidence	1.0	118	3	1991.0	2018.0
CFH	3075	Membranoproliferative Glomerulonephritis, Type II	C0268743	disease	Female Urogenital Diseases and Pregnancy Complications; Immune System Diseases; Male Urogenital Diseases	Disease or Syndrome	9	4	0.7	no reported evidence	0.9545455	23	3	1995.0	2014.0
PON1	5444	Amyotrophic Lateral Sclerosis	C0002736	disease	Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	659	259	0.7	no reported evidence	0.8181818	12	1	2007.0	2017.0
RAF1	5894	Hypertrophic Cardiomyopathy	C0007194	disease	Cardiovascular Diseases	Disease or Syndrome	327	287	0.7	limited	1.0	10	0	2007.0	2017.0
TNF	7124	Rheumatoid Arthritis	C0003873	disease	Immune System Diseases; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1832	1878	0.7	no reported evidence	0.9507874	531	3	1989.0	2018.0
TP53	7157	Adenocarcinoma	C0001418	group	Neoplasms	Neoplastic Process	1711	67	0.7	no reported evidence	0.9465409	333	5	1986.0	2018.0
TP53	7157	Brain Neoplasms	C0006118	group	Neoplasms; Nervous System Diseases	Neoplastic Process	645	163	0.7	no reported evidence	0.9770115	89	71	1991.0	2017.0
TP53	7157	Malignant neoplasm of skin	C0007114	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	306	23	0.7	no reported evidence	0.9120879	93	1	1991.0	2017.0
TP53	7157	Leukemia, Myelocytic, Acute	C0023467	disease	Neoplasms	Neoplastic Process	1702	215	0.7	no reported evidence	0.9550562	185	27	1986.0	2018.0
TP53	7157	Skin Neoplasms	C0037286	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	255	4	0.7	no reported evidence	0.8611111	42	1	1993.0	2017.0
TP53	7157	Small cell carcinoma of lung	C0149925	disease	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	672	83	0.7	no reported evidence	0.9846154	69	32	1991.0	2017.0
TP53	7157	Malignant neoplasm of esophagus	C0546837	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	672	66	0.7	no reported evidence	0.9466667	78	3	1991.0	2017.0
TP53	7157	Malignant neoplasm of ovary	C1140680	disease	Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Neoplastic Process	2025	244	0.7	limited	0.940678	240	3	1991.0	2018.0
TP53	7157	Mammary Neoplasms	C1458155	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	2386	303	0.7	no reported evidence	0.9714286	244	86	1983.0	2016.0
RAF1	5894	LEOPARD Syndrome	C0175704	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	28	22	0.64	no reported evidence	1.0	6	4	1993.0	2012.0
TP53	7157	Choroid Plexus Papilloma	C0205770	disease	Neoplasms; Nervous System Diseases	Neoplastic Process	20	5	0.64	no reported evidence	0.6666667	5	2	2002.0	2017.0
OGG1	4968	Renal Cell Carcinoma	C0007134	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	1347	175	0.62	no reported evidence	1.0	3	1	2004.0	2011.0
OGG1	4968	Conventional (Clear Cell) Renal Cell Carcinoma	C0279702	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	630	29	0.61	no reported evidence	1.0	2	1	2000.0	2009.0
DRD2	1813	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.6	no reported evidence	1.0	13	0	2002.0	2015.0
