Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
ABCA1	19	Tangier Disease	C0039292	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	25	26	1	no reported evidence	0.989473684210526	107	25	1999	2017
SNCA	6622	Parkinson Disease	C0030567	disease	Nervous System Diseases	Disease or Syndrome	1063	636	0.9	strong	0.9733333	595	34	1997	2018
ABCA1	19	Hypoalphalipoproteinemia, Familial	C1704429	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	12	7	0.8	no reported evidence	0.96551724137931	30	7	1995	2015
PSEN1	5663	Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia	C1843015	disease	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1	81	0.8	no reported evidence		44	81	1995	2016
SNCA	6622	PARKINSON DISEASE 1, AUTOSOMAL DOMINANT (disorder)	C1868595	disease		Disease or Syndrome	1	5	0.8	no reported evidence		24	5	1997	2017
TREM2	54209	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY	C1857316	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases; Virus Diseases	Disease or Syndrome	3	18	0.8	no reported evidence	1	27	13	1983	2018
PSEN1	5663	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.7	no reported evidence	0.9385246	535	40	1990	2018
PSEN1	5663	Frontotemporal dementia	C0338451	disease	Mental Disorders; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	144	94	0.7	no reported evidence	1	58	13	1995	2017
SNCA	6622	Lewy Body Disease	C0752347	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	132	19	0.7	no reported evidence	0.9411765	45	4	1999	2018
SNCA	6622	Atypical Parkinson Disease	C1868596	disease	Nervous System Diseases	Disease or Syndrome	1	4	0.7	no reported evidence		9	4	1997	2015
