Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
DBH	1621	dopamine beta hydroxylase deficiency	C0342687	disease	Nervous System Diseases	Disease or Syndrome	1	8	0.91	no reported evidence	1.0	8	8	1993.0	2013.0
ESR1	2099	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.9	no reported evidence	0.97044494965898	3087	24	1983.0	2018.0
CST3	1471	Hereditary Cerebral Amyloid Angiopathy, Icelandic Type	C1527338	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	2	2	0.77	no reported evidence	1.0	14	1	1988.0	2013.0
ESR1	2099	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.7	no reported evidence	0.972105464272067	2628	26	1981.0	2018.0
ESR1	2099	Mammary Neoplasms	C1458155	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	2386	303	0.7	no reported evidence	0.964769647696477	486	6	1988.0	2018.0
ESR1	2099	ESTROGEN RESISTANCE	C3809250	disease		Disease or Syndrome	30	5	0.7	no reported evidence	1.0	13	3	1994.0	2017.0
CST3	1471	Cerebral Amyloid Angiopathy, Hereditary	C1510489	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	12	3	0.6	no reported evidence	1.0	12	1	1983.0	2009.0
CST3	1471	Age-Related Macular Degeneration type 11	C2677774	disease	Eye Diseases	Disease or Syndrome	1	1	0.6	no reported evidence		4	1	1989.0	2015.0
ESR1	2099	Obesity	C0028754	disease	Nutritional and Metabolic Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1960	811	0.6	no reported evidence	1.0	31	3	2001.0	2017.0
ESR1	2099	Endometrial Carcinoma	C0476089	disease	Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Neoplastic Process	839	145	0.6	no reported evidence	0.954022988505747	87	4	1991.0	2018.0
MAOB	4129	Parkinson Disease	C0030567	disease	Nervous System Diseases	Disease or Syndrome	1063	636	0.6	no reported evidence	0.974359	41	0	1993.0	2016.0
DBH	1621	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.53	no reported evidence	1.0	7	0	1994.0	2014.0
ANXA5	308	Hepatolenticular Degeneration	C0019202	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Digestive System Diseases; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	68	220	0.5	no reported evidence		1	0	2012.0	2012.0
ESR1	2099	Osteopenia	C0029453	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	328	21	0.5	no reported evidence	0.941176470588235	18	0	1997.0	2016.0
